EAN,Quantity,Price
9780321899712,28,$7.56
9780321902788,76,$77.23
9780321906731,289,$37.28
9780321908698,15,$18.86
9780321909077,348,$12.6
9780321912763,4,$55.29
9780321914224,5,$19.31
9780321915115,17,$4.62
9780321915870,5,$40.07
9780321916525,9,$55.9
9780321916600,48,$70.04
9780321919069,7,$20.45
9780321921314,30,$5.11
9780321922212,35,$61.0
9780321923172,38,$15.62
9780321923271,28,$70.23
9780321924711,7,$35.0
9780321925145,13,$67.66
9780321925749,7,$49.35
9780321927026,229,$116.13
9780321927040,534,$92.92
9780321927149,82,$19.01
9780321928092,261,$39.82
9780321929150,326,$89.77
9780321931054,3,$71.19
9780321931061,30,$50.27
9780321931900,3,$24.71
9780321934925,18,$104.67
9780321934956,20,$72.68
9780321936875,15,$50.26
9780321937711,18,$91.9
9780321940742,7,$14.84
9780321940872,8,$73.12
9780321943170,71,$65.8
9780321945624,6,$38.88
9780321947345,8,$66.45
